Sr. No.,Title,Description,status,post_type,
5653,Richard Eichhorn,Bush Mission Pointe Library,Publish,team-member,
5654,Aleksandra Gannaway,Accessory15,Publish,team-member,
5655,Nick Crebassa,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Publish,team-member,
5656,Nick Crebassa,Staples Copy Paper (20Lb. and 84 Bright),Publish,team-member,
5657,Nick Crebassa,Accessory36,Publish,team-member,
5658,Sung Shariari,Bagged Rubber Bands,Publish,team-member,
5659,Susan Pistek,Xerox 213,Publish,team-member,
5660,Neil French,2180,Publish,team-member,
5661,Nick Crebassa,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Publish,team-member,
5662,Suzanne McNair,Colored Envelopes,Publish,team-member,
5663,Nick Crebassa,Wilson Jones Impact Binders,Publish,team-member,
5664,Neil French,Okidata ML184 Turbo Dot Matrix Printers,Publish,team-member,
5665,Neil French,Xerox 1952,Publish,team-member,
5666,Rob Beeghly,GBC ProClick Spines for 32-Hole Punch,Publish,team-member,
5667,Nick Crebassa,Xerox 1983,Publish,team-member,
5668,Rob Beeghly,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Publish,team-member,
5669,Rob Beeghly,Avery 520,Publish,team-member,
5670,Rob Beeghly,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",Publish,team-member,
5671,Susan Pistek,GBC ProClick™ 150 Presentation Binding System,Publish,team-member,
5672,Sung Shariari,Newell 346,Publish,team-member,
5673,Suzanne McNair,Logitech Access Keyboard,Publish,team-member,
5674,Suzanne McNair,Xerox 19,Publish,team-member,
5675,Suzanne McNair,Kensington 4 Outlet MasterPiece® Compact Power Control Center,Publish,team-member,
5676,Neil French,GBC Standard Plastic Binding Systems' Combs,Publish,team-member,
5677,Neil French,Avery 481,Publish,team-member,
5678,Michelle Moray,Hanging Personal Folder File,Publish,team-member,
5679,Neil French,"Eldon Regeneration Recycled Desk Accessories, Smoke",Publish,team-member,
5680,Neil French,Hon Rectangular Conference Tables,Publish,team-member,
5681,Suzanne McNair,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Publish,team-member,
5682,Robert Waldorf,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Publish,team-member,
5683,Nicole Fjeld,Serrated Blade or Curved Handle Hand Letter Openers,Publish,team-member,
5684,Suzanne McNair,Epson FX-980 Dot Matrix Printer,Publish,team-member,
5685,Suzanne McNair,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",Publish,team-member,
5686,Brenda Bowman,Avery 494,Publish,team-member,
5687,Brenda Bowman,Newell 315,Publish,team-member,
5688,Brenda Bowman,Belkin ErgoBoard™ Keyboard,Publish,team-member,
5689,Carl Weiss,"Fellowes Strictly Business® Drawer File, Letter/Legal Size",Publish,team-member,
5690,Jack O'Briant,"IBM Active Response Keyboard, Black",Publish,team-member,
5691,Jack O'Briant,StarTAC 7760,Publish,team-member,
5692,Jack O'Briant,Portfile® Personal File Boxes,Publish,team-member,
5693,Joel Eaton,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Publish,team-member,
5694,Joel Eaton,Rediform S.O.S. Phone Message Books,Publish,team-member,
5695,Justin Ellison,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Publish,team-member,
5696,Jennifer Jackson,"6"" Cubicle Wall Clock, Black",Publish,team-member,
5697,Michael Oakman,Acme® Box Cutter Scissors,Publish,team-member,
5698,Carl Weiss,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Publish,team-member,
5699,Michael Oakman,V70,Publish,team-member,
5700,Jennifer Jackson,"BOSTON® Ranger® #55 Pencil Sharpener, Black",Publish,team-member,
5701,Jack O'Briant,Belkin MediaBoard 104- Keyboard,Publish,team-member,
5702,Jack O'Briant,"Array® Parchment Paper, Assorted Colors",Publish,team-member,
5703,Jack O'Briant,Xerox 1997,Publish,team-member,
5704,Justin Ellison,Plymouth Boxed Rubber Bands by Plymouth,Publish,team-member,
5705,Justin Ellison,Avery 481,Publish,team-member,
5706,Justin Ellison,Smead Adjustable Mobile File Trolley with Lockable Top,Publish,team-member,
5707,Jennifer Jackson,Large Capacity Hanging Post Binders,Publish,team-member,
5708,Jennifer Jackson,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Publish,team-member,
5709,Jack O'Briant,Bretford CR4500 Series Slim Rectangular Table,Publish,team-member,
5710,Michael Oakman,"Quartet Omega® Colored Chalk, 12/Pack",Publish,team-member,
5711,Michael Oakman,Riverside Furniture Stanwyck Manor Table Series,Publish,team-member,
5712,Justin Ellison,Micro Innovations Media Access Pro Keyboard,Publish,team-member,
5713,Justin Ellison,Newell 340,Publish,team-member,
5714,Carl Weiss,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Publish,team-member,
5715,Jack O'Briant,"Fellowes Basic 104-Key Keyboard, Platinum",Publish,team-member,
5716,Jack O'Briant,"IBM 80 Minute CD-R Spindle, 50/Pack",Publish,team-member,
5717,Joel Eaton,V70,Publish,team-member,
5718,Jennifer Jackson,"Fellowes Mobile Numeric Keypad, Graphite",Publish,team-member,
5719,Jennifer Jackson,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Publish,team-member,
5720,Justin Ellison,Bretford CR8500 Series Meeting Room Furniture,Publish,team-member,
5721,Jack O'Briant,"TDK 4.7GB DVD-R Spindle, 15/Pack",Publish,team-member,
5722,Carl Weiss,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Publish,team-member,
5723,Carl Weiss,12-1/2 Diameter Round Wall Clock,Publish,team-member,
5724,Carl Weiss,Catalog Binders with Expanding Posts,Publish,team-member,
5725,Joel Eaton,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Publish,team-member,
5726,Joel Eaton,Hon Deluxe Fabric Upholstered Stacking Chairs,Publish,team-member,
5727,Jack O'Briant,Crate-A-Files™,Publish,team-member,
5728,Jack O'Briant,2190,Publish,team-member,
5729,Karen Bern,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Publish,team-member,
5730,Kristen Hastings,Accessory9,Publish,team-member,
5731,Kristen Hastings,Xerox 212,Publish,team-member,
5732,Kristen Hastings,Accessory29,Publish,team-member,
5733,Jack O'Briant,Belkin 105-Key Black Keyboard,Publish,team-member,
5734,Kristen Hastings,Avery 510,Publish,team-member,
5735,Joel Eaton,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Publish,team-member,
5736,Joel Eaton,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",Publish,team-member,
5737,Carl Weiss,Boston 16701 Slimline Battery Pencil Sharpener,Publish,team-member,
5738,Justin Ellison,Lexmark Z54se Color Inkjet Printer,Publish,team-member,
5739,Jennifer Jackson,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",Publish,team-member,
5740,Joel Eaton,Accessory21,Publish,team-member,
5741,Jack O'Briant,Accessory25,Publish,team-member,
5742,Jack O'Briant,Staples Premium Bright 1-Part Blank Computer Paper,Publish,team-member,
5743,Jack O'Briant,Eldon® Gobal File Keepers,Publish,team-member,
5744,Karen Bern,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",Publish,team-member,
5745,Karen Bern,Xerox 1968,Publish,team-member,
5746,Jack O'Briant,Micro Innovations 104 Keyboard,Publish,team-member,
5747,Jack O'Briant,3M Organizer Strips,Publish,team-member,
5748,Jack O'Briant,Xerox 1986,Publish,team-member,
5749,Jack O'Briant,Avery 501,Publish,team-member,
5750,Jack O'Briant,8860,Publish,team-member,
5751,Jack O'Briant,Bevis 36 x 72 Conference Tables,Publish,team-member,
5752,Jack O'Briant,Keytronic French Keyboard,Publish,team-member,
5753,Jennifer Jackson,Belkin 105-Key Black Keyboard,Publish,team-member,
5754,Jennifer Jackson,Xerox 196,Publish,team-member,
5755,Meg Tillman,Acco® Hot Clips™ Clips to Go,Publish,team-member,
5756,Jack O'Briant,Staples Surge Protector 6 outlet,Publish,team-member,
5757,Kristen Hastings,"Peel & Seel® Recycled Catalog Envelopes, Brown",Publish,team-member,
5758,Kristen Hastings,Xerox 1891,Publish,team-member,
5759,Kristen Hastings,"Tenex File Box, Personal Filing Tote with Lid, Black",Publish,team-member,
5760,Justin Ellison,Hoover Portapower™ Portable Vacuum,Publish,team-member,
5761,Jennifer Jackson,Hewlett-Packard Deskjet 3820 Color Inkjet Printer,Publish,team-member,
5762,Jennifer Jackson,Xerox 223,Publish,team-member,
5763,Karen Bern,Accessory9,Publish,team-member,
5764,Liz Pelletier,"Imation 3.5 IBM Diskettes, 10/Box",Publish,team-member,
5765,Jonathan Doherty,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Publish,team-member,
5766,Jonathan Doherty,Newell 308,Publish,team-member,
5767,Frank Gastineau,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Publish,team-member,
5768,Janet Lee,Fellowes Binding Cases,Publish,team-member,
5769,Janet Lee,Xerox 1922,Publish,team-member,
5770,Janet Lee,Xerox 1981,Publish,team-member,
5771,Rick Wilson,Nu-Dell Executive Frame,Publish,team-member,
5772,Jonathan Doherty,5165,Publish,team-member,
5773,Lycoris Saunders,"Acme® 8"" Straight Scissors",Publish,team-member,
5774,Maxwell Schwartz,Wilson Jones Suede Grain Vinyl Binders,Publish,team-member,
5775,Liz Carlisle,Grip Seal Envelopes,Publish,team-member,
5776,Neil Knudson,Avery 508,Publish,team-member,
5777,Denise Monton,Avery Poly Binder Pockets,Publish,team-member,
5778,Denise Monton,Hon Multipurpose Stacking Arm Chairs,Publish,team-member,
5779,Jonathan Doherty,"Imation Neon Mac Format Diskettes, 10/Pack",Publish,team-member,
5780,Jonathan Doherty,Xerox 227,Publish,team-member,
5781,Maxwell Schwartz,Novimex Turbo Task Chair,Publish,team-member,
5782,Rick Wilson,4009® Highlighters by Sanford,Publish,team-member,
5783,Neil Knudson,i270,Publish,team-member,
5784,Lycoris Saunders,Belkin 8 Outlet Surge Protector,Publish,team-member,
5785,Lycoris Saunders,Avery 481,Publish,team-member,
5786,Jonathan Doherty,Xerox 1880,Publish,team-member,
5787,Jonathan Doherty,Super Decoflex Portable Personal File,Publish,team-member,
5788,Kelly Collister,3M Organizer Strips,Publish,team-member,
5789,Maxwell Schwartz,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Publish,team-member,
5790,Neil Knudson,Recycled Steel Personal File for Standard File Folders,Publish,team-member,
5791,Dennis Pardue,Staples Surge Protector 6 outlet,Publish,team-member,
5792,Dennis Pardue,Berol Giant Pencil Sharpener,Publish,team-member,
5793,Dennis Pardue,Hon 61000 Series Interactive Training Tables,Publish,team-member,
5794,Rick Wilson,Accessory6,Publish,team-member,
5795,Jonathan Doherty,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Publish,team-member,
5796,Jonathan Doherty,JM Magazine Binder,Publish,team-member,
5797,Jonathan Doherty,"Tenex File Box, Personal Filing Tote with Lid, Black",Publish,team-member,
5798,Liz Carlisle,Keytronic French Keyboard,Publish,team-member,
5799,Dennis Pardue,2180,Publish,team-member,
5800,Neil Knudson,"Dana Fluorescent Magnifying Lamp, White, 36""",Publish,team-member,
5801,Maxwell Schwartz,R380,Publish,team-member,
5802,Neil Knudson,Avery Arch Ring Binders,Publish,team-member,
5803,Neil Knudson,"IBM Active Response Keyboard, Black",Publish,team-member,
5804,John Huston,"Global Leather and Oak Executive Chair, Black",Publish,team-member,
5805,John Huston,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Publish,team-member,
5806,MaryBeth Skach,"Eldon® 300 Class™ Desk Accessories, Black",Publish,team-member,
5807,MaryBeth Skach,Super Decoflex Portable Personal File,Publish,team-member,
5808,MaryBeth Skach,Staples 6 Outlet Surge,Publish,team-member,
5809,MaryBeth Skach,Newell 309,Publish,team-member,
5810,Dennis Pardue,Fellowes 17-key keypad for PS/2 interface,Publish,team-member,
5811,Janet Lee,Southworth 25% Cotton Premium Laser Paper and Envelopes,Publish,team-member,
5812,Denise Monton,Logitech Cordless Navigator Duo,Publish,team-member,
5813,Denise Monton,12 Colored Short Pencils,Publish,team-member,
5814,Rick Wilson,Talkabout T8097,Publish,team-member,
5815,Rick Wilson,TimeportP7382,Publish,team-member,
5816,John Huston,Acme® Preferred Stainless Steel Scissors,Publish,team-member,
5817,MaryBeth Skach,"Eureka Hand Vacuum, Bagless",Publish,team-member,
5818,Denise Monton,Binding Machine Supplies,Publish,team-member,
5819,Rick Wilson,Avery 496,Publish,team-member,
5820,Neil Knudson,Microsoft Internet Keyboard,Publish,team-member,
5821,Neil Knudson,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Publish,team-member,
5822,Janet Lee,"Fellowes Basic 104-Key Keyboard, Platinum",Publish,team-member,
5823,Anthony Garverick,5180,Publish,team-member,
5824,Liz Carlisle,Xerox 1983,Publish,team-member,
5825,Dennis Pardue,Southworth 25% Cotton Premium Laser Paper and Envelopes,Publish,team-member,
5826,Dennis Pardue,SANFORD Major Accent™ Highlighters,Publish,team-member,
5827,Rick Wilson,Accessory27,Publish,team-member,
5828,Denise Monton,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Publish,team-member,
5829,Janet Lee,Holmes Odor Grabber,Publish,team-member,
5830,Janet Lee,Hon iLevel™ Computer Training Table,Publish,team-member,
5831,Maxwell Schwartz,Xerox 1887,Publish,team-member,
5832,Rick Wilson,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Publish,team-member,
5833,Rick Wilson,Recycled Eldon Regeneration Jumbo File,Publish,team-member,
5834,Liz Carlisle,"Maxell Pro 80 Minute CD-R, 10/Pack",Publish,team-member,
5835,Lycoris Saunders,Xerox 1966,Publish,team-member,
5836,Anthony Garverick,"Global Push Button Manager's Chair, Indigo",Publish,team-member,
5837,MaryBeth Skach,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Publish,team-member,
5838,MaryBeth Skach,SANFORD Major Accent™ Highlighters,Publish,team-member,
5839,Anthony Garverick,Xerox 1994,Publish,team-member,
5840,Liz Carlisle,Adesso Programmable 142-Key Keyboard,Publish,team-member,
5841,Liz Carlisle,Avery 494,Publish,team-member,
5842,MaryBeth Skach,GBC Poly Designer Binding Covers,Publish,team-member,
5843,Rick Wilson,"210 Trimline Phone, White",Publish,team-member,
5844,Liz Carlisle,Lumber Crayons,Publish,team-member,
5845,Liz Carlisle,Timeport L7089,Publish,team-member,
5846,Lindsay Castell,Avery 474,Publish,team-member,
5847,Justin Deggeller,Belkin ErgoBoard™ Keyboard,Publish,team-member,
5848,Justin Deggeller,Xerox 1953,Publish,team-member,
5849,Justin Deggeller,MicroTAC 650,Publish,team-member,
5850,Rick Wilson,Accessory41,Publish,team-member,
5851,Maxwell Schwartz,HP Office Paper (20Lb. and 87 Bright),Publish,team-member,
5852,Lindsay Castell,Bagged Rubber Bands,Publish,team-member,
5853,Lycoris Saunders,Holmes 99% HEPA Air Purifier,Publish,team-member,
5854,Lindsay Castell,Fellowes 17-key keypad for PS/2 interface,Publish,team-member,
5855,Lindsay Castell,Xerox Blank Computer Paper,Publish,team-member,
5856,Lindsay Castell,Smead Adjustable Mobile File Trolley with Lockable Top,Publish,team-member,
5857,Liz Pelletier,"Imation 3.5 IBM Formatted Diskettes, 10/Box",Publish,team-member,
5858,Maxwell Schwartz,Microsoft Internet Keyboard,Publish,team-member,
5859,Maxwell Schwartz,Multicolor Computer Printout Paper,Publish,team-member,
5860,Maxwell Schwartz,600 Series Flip,Publish,team-member,
5861,Janet Lee,Phone 918,Publish,team-member,
5862,Craig Carreira,Polycom ViewStation™ ISDN Videoconferencing Unit,Publish,team-member,
5863,Paul Stevenson,"Fellowes Mobile Numeric Keypad, Graphite",Publish,team-member,
5864,Paul Stevenson,"Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel",Publish,team-member,
5865,Paul Stevenson,"Dixon Ticonderoga® Erasable Colored Pencil Set, 12-Color",Publish,team-member,
5866,Paul Stevenson,"Fellowes Personal Hanging Folder Files, Navy",Publish,team-member,
5867,Kelly Collister,Deflect-O® Glasstique™ Clear Desk Accessories,Publish,team-member,
5868,Greg Hansen,"Imation 3.5 IBM Formatted Diskettes, 10/Box",Publish,team-member,
5869,Greg Hansen,Xerox 1959,Publish,team-member,
5870,Liz Carlisle,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Publish,team-member,
5871,Jonathan Doherty,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Publish,team-member,
5872,Lycoris Saunders,Avery 510,Publish,team-member,
5873,Lycoris Saunders,Ibico Presentation Index for Binding Systems,Publish,team-member,
5874,Lycoris Saunders,Avery 487,Publish,team-member,
5875,Lycoris Saunders,Xerox 1977,Publish,team-member,
5876,Janet Lee,"Seth Thomas 13 1/2"" Wall Clock",Publish,team-member,
5877,Janet Lee,StarTAC Series,Publish,team-member,
5878,Dennis Pardue,Fellowes Binding Cases,Publish,team-member,
5879,Dennis Pardue,Ibico EPK-21 Electric Binding System,Publish,team-member,
5880,Jonathan Doherty,Global Commerce™ Series High-Back Swivel/Tilt Chairs,Publish,team-member,
5881,Jonathan Doherty,"OIC Colored Binder Clips, Assorted Sizes",Publish,team-member,
5882,Jonathan Doherty,X-Rack™ File for Hanging Folders,Publish,team-member,
5883,Dennis Pardue,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Publish,team-member,
5884,Lycoris Saunders,Avery 506,Publish,team-member,
5885,Lycoris Saunders,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Publish,team-member,
5886,Lycoris Saunders,Smead Adjustable Mobile File Trolley with Lockable Top,Publish,team-member,
5887,Paul Stevenson,Xerox 1930,Publish,team-member,
5888,Dennis Pardue,1726 Digital Answering Machine,Publish,team-member,
5889,Dennis Pardue,Multicolor Computer Printout Paper,Publish,team-member,
5890,Jonathan Doherty,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Publish,team-member,
5891,Jonathan Doherty,Bevis 36 x 72 Conference Tables,Publish,team-member,
5892,Liz Carlisle,"Memorex 4.7GB DVD+RW, 3/Pack",Publish,team-member,
5893,Neil Knudson,Hunt Boston® Vacuum Mount KS Pencil Sharpener,Publish,team-member,
5894,Frank Gastineau,GBC Poly Designer Binding Covers,Publish,team-member,
5895,Frank Gastineau,"Global High-Back Leather Tilter, Burgundy",Publish,team-member,
5896,Greg Hansen,#6 3/4 Gummed Flap White Envelopes,Publish,team-member,
5897,MaryBeth Skach,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Publish,team-member,
5898,MaryBeth Skach,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Publish,team-member,
5899,MaryBeth Skach,282,Publish,team-member,
5900,Jonathan Doherty,T193,Publish,team-member,
5901,Lycoris Saunders,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Publish,team-member,
5902,Bill Eplett,Riverside Furniture Stanwyck Manor Table Series,Publish,team-member,
5903,Dennis Pardue,TDK 4.7GB DVD-R,Publish,team-member,
5904,Dennis Pardue,GBC Poly Designer Binding Covers,Publish,team-member,
5905,Dennis Pardue,GBC Recycled Regency Composition Covers,Publish,team-member,
5906,Jeremy Lonsdale,"Sony MFD2HD Formatted Diskettes, 10/Pack",Publish,team-member,
5907,Jeremy Lonsdale,Avery 485,Publish,team-member,
5908,Jeremy Lonsdale,Xerox 195,Publish,team-member,
5909,Jeremy Lonsdale,i270,Publish,team-member,
5910,Maxwell Schwartz,Office Star - Task Chair with Contemporary Loop Arms,Publish,team-member,
5911,Neil Knudson,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Publish,team-member,
5912,Neil Knudson,Hon iLevel™ Computer Training Table,Publish,team-member,
5913,Maxwell Schwartz,Xerox 1989,Publish,team-member,
5914,Maxwell Schwartz,Canon imageCLASS 2200 Advanced Copier,Publish,team-member,
5915,Lycoris Saunders,Flexible Leather- Look Classic Collection Ring Binder,Publish,team-member,
5916,Dennis Pardue,"Computer Room Manger, 14""",Publish,team-member,
5917,Dennis Pardue,Revere Boxed Rubber Bands by Revere,Publish,team-member,
5918,Jonathan Doherty,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Publish,team-member,
5919,Kelly Collister,"Array® Parchment Paper, Assorted Colors",Publish,team-member,
5920,Jeremy Lonsdale,Riverside Furniture Stanwyck Manor Table Series,Publish,team-member,
5921,Jeremy Lonsdale,"Crayola Anti Dust Chalk, 12/Pack",Publish,team-member,
5922,Bill Eplett,Logitech Access Keyboard,Publish,team-member,
5923,Bill Eplett,Xerox 1929,Publish,team-member,
5924,Denise Monton,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Publish,team-member,
5925,Denise Monton,Xerox 1930,Publish,team-member,
5926,Denise Monton,6185,Publish,team-member,
5927,Jeremy Lonsdale,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Publish,team-member,
5928,Liz Pelletier,1726 Digital Answering Machine,Publish,team-member,
5929,Denise Monton,Xerox 213,Publish,team-member,
5930,Denise Monton,"Recycled Interoffice Envelopes with Re-Use-A-Seal® Closure, 10 x 13",Publish,team-member,
5931,Paul Stevenson,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Publish,team-member,
5932,Paul Stevenson,CF 888,Publish,team-member,
5933,Denise Monton,Coloredge Poster Frame,Publish,team-member,
5934,Denise Monton,8890,Publish,team-member,
5935,Denise Monton,Computer Printout Paper with Letter-Trim Perforations,Publish,team-member,
5936,Ionia McGrath,GBC DocuBind 300 Electric Binding Machine,Publish,team-member,
5937,Denise Monton,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Publish,team-member,
5938,Denise Monton,Personal Creations™ Ink Jet Cards and Labels,Publish,team-member,
5939,Jonathan Doherty,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Publish,team-member,
5940,Jonathan Doherty,Anderson Hickey Conga Table Tops & Accessories,Publish,team-member,
5941,Ionia McGrath,"Micro Innovations Micro 3000 Keyboard, Black",Publish,team-member,
5942,Ionia McGrath,Self-Adhesive Address Labels for Typewriters by Universal,Publish,team-member,
5943,Jonathan Doherty,GBC Plastic Binding Combs,Publish,team-member,
5944,Liz Pelletier,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Publish,team-member,
5945,Liz Pelletier,"Iris® 3-Drawer Stacking Bin, Black",Publish,team-member,
5946,Maxwell Schwartz,Advantus Map Pennant Flags and Round Head Tacks,Publish,team-member,
5947,Maxwell Schwartz,Fellowes Bankers Box™ Staxonsteel® Drawer File/Stacking System,Publish,team-member,
5948,Liz Pelletier,Hoover Portapower™ Portable Vacuum,Publish,team-member,
5949,Liz Pelletier,Storex DuraTech Recycled Plastic Frosted Binders,Publish,team-member,
5950,Jonathan Doherty,"Tennsco Lockers, Gray",Publish,team-member,
5951,Neil Knudson,SAFCO Folding Chair Trolley,Publish,team-member,
5952,Neil Knudson,Newell 336,Publish,team-member,
5953,Dennis Pardue,Avery 501,Publish,team-member,
5954,Dennis Pardue,Smead Adjustable Mobile File Trolley with Lockable Top,Publish,team-member,
5955,Emily Grady,"Quartet Alpha® White Chalk, 12/Pack",Publish,team-member,
5956,Dennis Pardue,Xerox 1997,Publish,team-member,
5957,Greg Hansen,Staples Pushpins,Publish,team-member,
5958,Liz Carlisle,Xerox 1977,Publish,team-member,
5959,Liz Pelletier,LX 677,Publish,team-member,
5960,Janet Lee,Epson Stylus 1520 Color Inkjet Printer,Publish,team-member,
5961,Neil Knudson,"Career Cubicle Clock, 8 1/4"", Black",Publish,team-member,
5962,Denise Monton,Round Ring Binders,Publish,team-member,
5963,Denise Monton,"Ampad® Evidence® Wirebond Steno Books, 6"" x 9""",Publish,team-member,
5964,Lycoris Saunders,Lexmark Z54se Color Inkjet Printer,Publish,team-member,
5965,Neil Knudson,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Publish,team-member,
5966,Neil Knudson,Rogers® Profile Extra Capacity Storage Tub,Publish,team-member,
5967,Greg Hansen,Avery Poly Binder Pockets,Publish,team-member,
5968,Greg Hansen,GBC Plastic Binding Combs,Publish,team-member,
5969,Greg Hansen,Aluminum Document Frame,Publish,team-member,
5970,Maxwell Schwartz,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Publish,team-member,
5971,Maxwell Schwartz,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,Publish,team-member,
5972,Denise Monton,Fellowes Binding Cases,Publish,team-member,
5973,Denise Monton,Belkin ErgoBoard™ Keyboard,Publish,team-member,
5974,Ionia McGrath,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Publish,team-member,
5975,Valerie Takahito,#6 3/4 Gummed Flap White Envelopes,Publish,team-member,
5976,Luke Schmidt,Gyration Ultra Professional Cordless Optical Suite,Publish,team-member,
5977,Luke Schmidt,Ultra Commercial Grade Dual Valve Door Closer,Publish,team-member,
5978,Luke Schmidt,Xerox 217,Publish,team-member,
5979,Luke Schmidt,282,Publish,team-member,
5980,Kelly Andreada,Crate-A-Files™,Publish,team-member,
5981,Jason Klamczynski,Serrated Blade or Curved Handle Hand Letter Openers,Publish,team-member,
5982,Tracy Hopkins,Eldon Simplefile® Box Office®,Publish,team-member,
5983,Craig Leslie,Avery 478,Publish,team-member,
5984,Valerie Takahito,GBC Linen Binding Covers,Publish,team-member,
5985,Valerie Takahito,Avery 508,Publish,team-member,
5986,Michael Grace,Portfile® Personal File Boxes,Publish,team-member,
5987,Saphhira Shifley,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Publish,team-member,
5988,Saphhira Shifley,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Publish,team-member,
5989,Laurel Beltran,Maxell DVD-RAM Discs,Publish,team-member,
5990,Laurel Beltran,5170i,Publish,team-member,
5991,Craig Leslie,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Publish,team-member,
5992,Craig Leslie,Novimex Swivel Fabric Task Chair,Publish,team-member,
5993,Craig Leslie,Eldon Portable Mobile Manager,Publish,team-member,
5994,Craig Leslie,Accessory35,Publish,team-member,
5995,Tracy Blumstein,Fellowes Officeware™ Wire Shelving,Publish,team-member,
5996,Tracy Blumstein,"Fellowes Personal Hanging Folder Files, Navy",Publish,team-member,
5997,Tracy Blumstein,Timeport L7089,Publish,team-member,
5998,Luke Schmidt,Satellite Sectional Post Binders,Publish,team-member,
5999,Kelly Andreada,Xerox 1938,Publish,team-member,
6000,Michael Grace,"Howard Miller 16"" Diameter Gallery Wall Clock",Publish,team-member,
6001,Saphhira Shifley,Staples® General Use 3-Ring Binders,Publish,team-member,
6002,Saphhira Shifley,"Avery Hi-Liter® EverBold™ Pen Style Fluorescent Highlighters, 4/Pack",Publish,team-member,
6003,Michael Grace,Spiral Phone Message Books with Labels by Adams,Publish,team-member,
6004,Michael Grace,Newell 340,Publish,team-member,
6005,Kelly Andreada,Xerox 1997,Publish,team-member,
6006,Valerie Takahito,"Executive Impressions 13"" Chairman Wall Clock",Publish,team-member,
6007,Michael Grace,Bionaire 99.97% HEPA Air Cleaner,Publish,team-member,
6008,Michael Grace,"Fellowes Basic 104-Key Keyboard, Platinum",Publish,team-member,
6009,Laurel Beltran,GBC Standard Therm-A-Bind Covers,Publish,team-member,
6010,Larry Blacks,"Master Giant Foot® Doorstop, Safety Yellow",Publish,team-member,
6011,Luke Schmidt,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Publish,team-member,
